ride_date,source_year,total_rides,total_revenue,avg_fare
2019-09-11,2019,242990,4730347.933278382,19.46725352186667
2019-09-12,2019,260129,5231744.887324899,20.112117016268463
2019-09-13,2019,245308,4943295.408676833,20.15138278685095
2019-09-14,2019,229822,4308414.952384174,18.74674727564887
2019-09-15,2019,203386,4065932.713246146,19.99121234129265
2019-09-16,2019,218791,4382165.703555435,20.029003494455598
2019-09-17,2019,234315,4623338.464018622,19.731295324749258
2019-09-18,2019,242009,4849945.510974357,20.040351850445052
2019-09-19,2019,250932,5098723.268687695,20.319143308496706
2019-09-20,2019,243898,4916503.098992676,20.15802958200836
2019-09-21,2019,233782,4407113.401979744,18.85138035426057
2019-09-22,2019,205024,4127855.1123013496,20.133521501391787
2019-09-23,2019,195977,4383633.283920884,22.368100766523032
2019-09-24,2019,211282,4389564.22179538,20.775855121569183
2019-09-25,2019,217364,4598616.099989176,21.15629129013625
2019-09-26,2019,238111,4993813.158599824,20.97262687821992
2019-09-27,2019,237265,4875443.25856179,20.548514355517206
2019-09-28,2019,232595,4296266.374558806,18.471017754288813
2019-09-29,2019,198869,3855366.1576251686,19.386461226360915
2019-09-30,2019,181186,3507074.9609966874,19.356213841006962
2020-09-01,2020,39687,698650.5075787306,17.604014099799194
2020-09-02,2020,41529,718119.257728586,17.29199493675711
2020-09-03,2020,43060,755575.5373477936,17.547039882670543
2020-09-04,2020,41981,748991.6473290324,17.841205481742513
2020-09-05,2020,30987,542577.2180968821,17.509833739854844
2020-09-06,2020,25360,460548.32824009657,18.1604230378587
2020-09-07,2020,25354,474922.66796702147,18.73166632353954
2020-09-08,2020,43457,770932.8173737526,17.740129723030872
2020-09-09,2020,47655,841911.0270402431,17.666793139025142
2020-09-10,2020,48295,843154.2475193739,17.45841696903145
2020-09-11,2020,50521,898944.6069482565,17.793484035317125
2020-09-12,2020,41372,709475.007737875,17.148675619691456
2020-09-13,2020,29470,530360.9680184126,17.996639566284784
2020-09-14,2020,44628,793992.2174953222,17.791346632054367
2020-09-15,2020,49742,871240.0071517229,17.515178463908224
2020-09-16,2020,51389,891737.4074582458,17.3526904095866
2020-09-17,2020,53075,935844.276848793,17.632487552497278
2020-09-18,2020,54215,963409.4068327546,17.77016336498671
2020-09-19,2020,43830,748325.6674527526,17.07336681388895
2020-09-20,2020,33836,608827.2274133563,17.993475216141277
2020-09-21,2020,46215,817487.3475185726,17.688788218512876
2020-09-22,2020,51190,891119.1172857881,17.408070273213283
2020-09-23,2020,54777,956533.326969862,17.462316792994542
2020-09-24,2020,56284,998237.9265637994,17.735731763268415
2020-09-25,2020,58829,1058585.7962391675,17.994285067554564
2020-09-26,2020,47145,804443.5970609784,17.063179490104538
2020-09-27,2020,35557,629235.6976917386,17.696535075842693
2020-09-28,2020,41203,727715.0681474302,17.661701044764463
2020-09-29,2020,54054,947922.5967255235,17.53658557600776
2020-09-30,2020,56186,989597.2767161131,17.61288001844077
2021-09-01,2021,88160,1754615.5639173687,19.902626632456542
2021-09-02,2021,93100,2158421.160637567,23.183900758727894
2021-09-03,2021,95630,2079554.90102911,21.74584231966025
2021-09-04,2021,88527,1788107.862539351,20.1984463783857
2021-09-05,2021,74209,2385447.0634182394,32.144983269121525
2021-09-06,2021,71712,1570733.2048602104,21.903352365855234
2021-09-07,2021,88673,1825293.9334112406,20.584551480284198
2021-09-08,2021,102042,2039343.1413430572,19.98533095532288
2021-09-09,2021,105817,2261560.098501861,21.372370209908247
2021-09-10,2021,109813,2331543.778533876,21.231946841757132
2021-09-11,2021,107560,2098592.1208012104,19.510897367062203
2021-09-12,2021,87232,1884987.1919958591,21.60889572629149
2021-09-13,2021,95736,2041352.9316307101,21.322730546823664
2021-09-14,2021,102209,2051216.861159861,20.06884776448122
2021-09-15,2021,106884,2113867.791306505,19.77721446901786
2021-09-16,2021,102456,1999689.492835343,19.51754404656968
2021-09-17,2021,110693,2297415.919136593,20.754843749257795
2021-09-18,2021,111362,2165993.160004556,19.450020294216664
2021-09-19,2021,88272,1871030.9219526649,21.196199496473003
