source_year,trip_distance,total_amount
2017,11.06,38.3
2017,9.9,35.75
2017,4.0,17.75
2017,0.8,7.8
2017,1.5,8.3
2017,2.6,14.1
2017,3.6,16.55
2017,0.4,6.36
2017,18.5,68.56
2017,1.48,8.8
2017,3.3,13.8
2017,1.1,8.75
2017,1.1,8.15
2017,25.8,130.8
2017,1.3,8.75
2017,8.5,26.8
2017,14.7,50.0
2017,0.9,12.8
2017,1.5,11.6
2017,1.4,8.8
2017,0.5,6.95
2017,2.3,12.95
2017,0.9,8.3
2017,0.6,5.8
2017,1.59,11.76
2017,1.6,11.16
2017,3.6,21.95
2017,1.0,7.8
2017,0.97,7.3
2017,2.85,14.3
2017,5.3,23.8
2017,1.27,7.3
2017,0.34,4.8
2017,0.81,6.8
2017,0.63,6.8
2017,1.7,11.3
2017,1.2,8.8
2017,1.93,10.3
2017,2.9,12.8
2017,1.4,11.75
2017,2.5,13.8
2017,12.7,47.56
2017,7.9,33.3
2017,4.67,21.96
2017,2.1,9.8
2017,1.48,11.76
2017,1.58,11.76
2017,3.34,17.76
2017,12.78,37.8
2017,7.08,25.8
2017,2.9,14.75
2017,0.8,7.55
2017,1.47,9.96
2017,0.46,5.76
2017,0.91,6.3
2017,2.52,15.3
2017,3.62,16.56
2017,8.3,39.75
2017,3.4,17.75
2017,3.0,17.25
2017,0.51,5.8
2017,5.61,25.3
2017,13.04,43.56
2017,17.9,52.8
2017,2.4,12.3
2017,1.0,7.3
2017,5.5,22.3
2017,2.1,11.75
2017,2.7,14.15
2017,2.44,14.76
2017,0.88,7.56
2017,0.7,6.62
2017,2.72,14.3
2017,2.43,11.76
2017,0.58,5.8
2017,0.9,7.3
2017,1.1,10.55
2017,3.1,16.6
2017,2.4,14.15
2017,1.16,6.8
2017,2.07,11.16
2017,0.72,6.8
2017,0.83,6.96
2017,3.13,15.36
2017,15.75,52.8
2017,1.9,8.8
2017,1.45,7.3
2017,3.7,14.8
2017,1.0,7.8
2017,2.0,11.75
2017,3.72,20.38
2017,3.33,15.8
2017,0.8,9.95
2017,1.3,9.95
2017,3.5,15.3
2017,2.5,11.8
2017,3.2,14.3
2017,0.9,6.38
2017,1.5,9.55
2017,10.1,29.8
2017,3.8,17.3
2017,0.91,7.3
2017,1.78,10.8
2017,1.89,12.25
2017,0.79,7.56
2017,3.0,14.0
2017,1.2,7.8
2017,0.7,8.8
2017,20.27,70.27
2017,4.84,16.8
2017,9.0,31.8
2017,1.6,7.8
2017,1.99,8.8
2017,5.22,18.8
2017,1.32,9.3
2017,1.7,8.3
2017,0.9,8.15
2017,0.9,7.82
2017,6.61,20.8
2017,1.55,7.3
2017,2.99,12.43
2017,1.76,9.96
2017,0.8,6.3
2017,17.76,70.27
2017,1.23,7.8
2017,5.71,21.8
2017,3.5,17.76
2017,2.29,12.96
2017,1.76,12.09
2017,8.97,35.76
2017,3.32,17.16
2017,5.5,21.3
2017,3.7,16.55
2017,0.98,7.8
2017,1.55,10.8
2017,1.85,10.7
2017,3.51,15.96
2017,0.8,5.8
2017,3.0,13.55
2017,0.9,7.55
2017,4.3,17.8
2017,1.7,8.8
2017,4.0,17.75
2017,4.7,21.95
2017,0.8,7.3
2017,0.8,8.15
2017,1.8,9.8
2017,3.7,17.25
2017,3.7,13.3
2017,5.0,18.3
2017,2.2,12.8
2017,2.3,14.15
2017,2.1,13.55
2017,0.7,6.8
2017,2.8,13.0
2017,4.0,20.75
2017,1.3,9.36
2017,0.2,9.35
2017,16.5,57.85
2017,1.32,8.3
2017,1.08,8.16
2017,2.24,10.8
2017,1.0,8.75
2017,0.6,8.4
2017,7.1,27.3
2017,1.5,8.8
2017,0.8,7.55
2017,3.69,19.24
2017,4.44,18.8
2017,1.42,9.3
2017,2.1,9.8
2017,2.3,9.8
2017,1.5,10.55
2017,5.9,26.75
2017,0.6,7.55
2017,3.3,14.75
2017,37.3,176.3
2017,1.8,11.15
2017,1.2,9.35
2017,5.1,26.75
2017,0.88,7.3
2017,1.99,11.76
2017,2.28,13.39
2017,1.1,8.15
2017,2.6,12.35
2017,9.4,39.35
2017,0.8,8.8
2017,2.3,12.3
2017,3.8,19.55
2017,1.4,10.8
2017,0.8,5.3
2017,14.5,25.1
2017,7.4,30.36
2017,16.07,81.67
2017,0.9,6.96
2017,1.4,9.96
2017,2.44,14.16
2017,5.03,22.3
2017,3.69,13.8
2017,8.28,40.7
2017,22.0,76.13
2017,14.49,51.0
2017,1.55,11.16
2017,4.73,18.3
2017,2.7,14.75
2017,1.5,9.95
2017,3.9,18.95
2017,1.25,8.6
2017,0.9,6.3
2017,6.5,26.8
2017,6.1,30.25
2017,3.6,17.15
2017,1.7,11.3
2017,1.65,8.3
2017,2.65,11.8
2017,1.86,11.16
2017,3.34,14.3
2017,3.78,14.8
2017,1.51,7.3
2017,0.75,5.3
2017,3.8,16.3
2017,0.8,8.5
2017,3.5,19.85
2017,1.9,11.15
2017,1.8,9.8
2017,2.6,14.8
2017,11.5,40.0
2017,1.8,10.8
2017,1.5,9.1
2017,1.0,6.8
2017,5.6,19.8
2017,1.2,7.8
2017,4.02,22.49
2017,1.93,11.8
2017,1.7,11.8
2017,1.9,11.3
2017,2.0,10.8
2017,2.87,15.38
2017,1.07,7.3
2017,3.5,15.35
2017,3.0,15.3
2017,1.2,9.8
2017,1.2,9.8
2017,0.5,6.95
2017,1.42,10.56
2017,4.47,24.3
2017,0.58,5.8
2017,6.01,40.3
2017,1.79,10.8
2017,7.94,26.8
2017,0.8,7.3
2017,3.97,16.8
2017,10.2,30.8
2017,0.5,6.35
2017,2.4,14.3
2017,16.06,45.3
2017,1.1,7.8
2017,0.5,6.35
2017,2.6,14.75
2017,1.7,10.3
2017,11.6,41.15
