source_year,pickup_week,pickup_yearweek,payment_type,total_rides,total_revenue,avg_fare
2018,38,2018-W38,4,2847,31391.749928036705,11.02625568248567
2018,39,2018-W39,0,2173,101748.3302564621,46.823897955113715
2018,39,2018-W39,1,1317229,24772986.84438607,18.80689450686712
2018,39,2018-W39,2,542494,7660189.042055309,14.120320302261977
2018,39,2018-W39,3,9659,132488.25951203704,13.716560670052495
2018,39,2018-W39,4,2756,34270.61994254589,12.434912896424489
2019,35,2019-W35,0,953,39312.03004550934,41.250818515749565
2019,35,2019-W35,1,92388,1957275.5683755875,21.185387370389957
2019,35,2019-W35,2,53721,906074.6220745444,16.866302229566546
2019,35,2019-W35,3,1018,11582.619864165783,11.37781912000568
2019,35,2019-W35,4,462,1973.5799577236176,4.271818090310861
2019,36,2019-W36,0,7415,305357.1199350357,41.181000665547636
2019,36,2019-W36,1,1034698,21424870.283250034,20.706399628925574
2019,36,2019-W36,2,393461,6598037.625285625,16.76922903486146
2019,36,2019-W36,3,8004,93139.56894475222,11.636627804191932
2019,36,2019-W36,4,3588,14866.55970877409,4.143411290070817
2019,37,2019-W37,0,8332,334148.8998056054,40.1042846622186
2019,37,2019-W37,1,1189878,24721504.405516565,20.776503478101592
2019,37,2019-W37,2,419057,6979384.108883003,16.654975597312543
2019,37,2019-W37,3,9125,104339.63893455267,11.43448097912906
2019,37,2019-W37,4,3896,14850.719738304615,3.8117863804683303
2019,38,2019-W38,0,7649,319926.8799266815,41.82597462762211
2019,38,2019-W38,1,1181792,24824341.45407468,21.00567735614616
2019,38,2019-W38,2,426210,7142835.09796815,16.7589570821148
2019,38,2019-W38,3,9205,105989.44887658954,11.514334478716952
2019,38,2019-W38,4,3895,12551.679663777351,3.2225108251032997
2019,39,2019-W39,0,8584,353341.5897731781,41.162813347294744
2019,39,2019-W39,1,1100749,23798953.180419296,21.620690257651194
2019,39,2019-W39,2,409247,6980024.893766552,17.055775347813306
2019,39,2019-W39,3,9011,250113.29137343168,27.756441168952577
2019,39,2019-W39,4,3872,10269.59971857071,2.6522726545895425
2019,40,2019-W40,0,1156,48059.189898490906,41.57369368381566
2019,40,2019-W40,1,126742,2600006.0172355175,20.514162765582977
2019,40,2019-W40,2,51616,843728.8840022087,16.3462663515617
2019,40,2019-W40,3,1194,12821.079880833626,10.737922848269369
2019,40,2019-W40,4,478,2459.789979636669,5.146004141499308
2020,36,2020-W36,0,13808,440742.50019311905,31.919358356975597
2020,36,2020-W36,1,142297,2537186.660327861,17.830218910643662
2020,36,2020-W36,2,63902,932828.2958978415,14.597794996992919
2020,36,2020-W36,3,1694,15572.96988645196,9.19301646189608
2020,36,2020-W36,4,903,-1867.929984152317,-2.0685824852185126
2020,37,2020-W37,0,18366,578910.3903012276,31.5207661059146
