source_year,pickup_week,pickup_yearweek,passenger_count,total_rides,total_revenue,avg_fare
2019,39,2019-W39,9,9,377.70000541210175,41.96666726801131
2019,40,2019-W40,0,4696,113346.10954892635,24.136735423536276
2019,40,2019-W40,1,127946,2428105.8673108816,18.977583256302516
2019,40,2019-W40,2,26729,545663.8965418339,20.414676813267757
2019,40,2019-W40,3,7815,150357.6691222191,19.239624967654393
2019,40,2019-W40,4,3492,67682.87959843874,19.38226792624248
2019,40,2019-W40,5,6431,122065.36931061745,18.980775821896664
2019,40,2019-W40,6,4075,79716.00956010818,19.562210934995875
2019,40,2019-W40,7,1,70.80000305175781,70.80000305175781
2019,40,2019-W40,8,1,66.36000061035156,66.36000061035156
2020,36,2020-W36,0,18810,521640.1299185753,27.73206432315658
2020,36,2020-W36,1,156263,2591697.770107964,16.585485816271056
2020,36,2020-W36,2,28231,484331.5077666044,17.15601671094203
2020,36,2020-W36,3,7292,124625.37943011522,17.09069931844696
2020,36,2020-W36,4,2692,48266.459711790085,17.92959127481058
2020,36,2020-W36,5,5637,92590.40959835052,16.42547624593765
2020,36,2020-W36,6,3675,61293.5397875309,16.678514227899566
2020,36,2020-W36,7,2,0.0,0.0
2020,36,2020-W36,8,2,17.300000190734863,8.650000095367432
2020,37,2020-W37,0,24449,678955.8300370574,27.77029040194108
2020,37,2020-W37,1,199887,3340194.1570189595,16.7104121679697
2020,37,2020-W37,2,36862,631680.9572849274,17.13637234238314
2020,37,2020-W37,3,9656,161561.40934950113,16.731711821613622
2020,37,2020-W37,4,3337,58738.41973114014,17.602163539448647
2020,37,2020-W37,5,7281,120886.779515028,16.603046218243097
2020,37,2020-W37,6,4649,77658.47966837883,16.704340647102352
2020,37,2020-W37,7,2,15.110000133514404,7.555000066757202
2020,37,2020-W37,9,1,10.199999809265137,10.199999809265137
2020,38,2020-W38,0,29420,823028.9399568439,27.975150916276135
2020,38,2020-W38,1,231123,3823780.765417397,16.5443541552221
2020,38,2020-W38,2,41448,694629.0171931386,16.7590478959935
2020,38,2020-W38,3,10637,173495.80929642916,16.31059596657226
2020,38,2020-W38,4,4000,66392.29973173141,16.598074932932853
2020,38,2020-W38,5,8722,142500.1494655609,16.338013009121866
2020,38,2020-W38,6,5364,89464.86959123611,16.678760177337082
2020,38,2020-W38,7,1,84.36000061035156,84.36000061035156
2020,39,2020-W39,0,31248,873553.7102243304,27.955507879682873
2020,39,2020-W39,1,244248,4032155.784538487,16.508449545292027
2020,39,2020-W39,2,43857,740878.5667749643,16.89305166278962
2020,39,2020-W39,3,11306,187522.95912146568,16.58614533181193
2020,39,2020-W39,4,4246,72576.27963483334,17.092859075561314
2020,39,2020-W39,5,9253,152914.45942616463,16.52593314883439
2020,39,2020-W39,6,5833,95840.32960748672,16.4307096875513
2020,39,2020-W39,7,4,86.75999927520752,21.68999981880188
2020,39,2020-W39,9,2,113.96000289916992,56.98000144958496
2020,40,2020-W40,0,14355,408338.6099243164,28.445740851572022
2020,40,2020-W40,1,106661,1752385.1138157938,16.429483258321167
2020,40,2020-W40,2,17716,295422.78864985704,16.67547915160629
2020,40,2020-W40,3,4521,73442.27968263626,16.244698005449294
2020,40,2020-W40,4,1792,30013.30988240242,16.74849881830492
2020,40,2020-W40,5,3877,64615.94976747036,16.666481755860293
2020,40,2020-W40,6,2519,40916.11986899376,16.243001138941548
2020,40,2020-W40,8,1,9.960000038146973,9.960000038146973
2020,40,2020-W40,9,1,90.80999755859375,90.80999755859375
2021,35,2021-W35,0,38318,1132207.3384011984,29.54766267553626
2021,35,2021-W35,1,292824,6680363.773977945,22.813580082158378
2021,35,2021-W35,2,66380,1459519.6632919312,21.987340513587394
2021,35,2021-W35,3,18007,386352.4680687189,21.455682127434827
2021,35,2021-W35,4,7408,165104.90925633907,22.287379759225036
2021,35,2021-W35,5,10719,218821.13910388947,20.414324013796946
2021,35,2021-W35,6,5966,123549.79943585396,20.70898414948943
2021,35,2021-W35,7,2,169.85000610351562,84.92500305175781
2021,35,2021-W35,8,2,57.609999656677246,28.804999828338623
2021,36,2021-W36,0,50471,1425252.897476554,28.239046134939944
2021,36,2021-W36,1,458246,9109909.88843435,19.879955064385396
2021,36,2021-W36,2,101523,2177572.1198294163,21.44905213428894
2021,36,2021-W36,3,26446,551460.5571835637,20.852323874444668
2021,36,2021-W36,4,10503,224427.69879966974,21.367961420515066
2021,36,2021-W36,5,16328,333166.07859158516,20.4045859010035
2021,36,2021-W36,6,9330,190091.90913248062,20.374266788047226
2021,36,2021-W36,7,2,172.31999969482422,86.15999984741211
2021,37,2021-W37,0,51837,1445269.8979626894,27.881048246671092
2021,37,2021-W37,1,497398,9659354.626388727,19.419769734475665
2021,37,2021-W37,2,104364,2166817.7995811105,20.762119117522428
2021,37,2021-W37,3,26620,530079.647257626,19.912834232067095
2021,37,2021-W37,4,10756,219609.8889142871,20.41743110024982
2021,37,2021-W37,5,17481,338518.26864916086,19.36492584229511
2021,37,2021-W37,6,9151,180494.36927080154,19.72400494708792
2021,37,2021-W37,7,2,184.86000061035156,92.43000030517578
2021,37,2021-W37,8,1,92.05000305175781,92.05000305175781
2021,37,2021-W37,9,2,145.6699981689453,72.83499908447266
2021,38,2021-W38,0,50016,1394363.3375691175,27.878345680764507
2021,38,2021-W38,1,497508,9888758.41279924,19.876581708835314
