source_year,passenger_count,distance_bucket,total_rides,avg_fare
2021,4,20+ miles,484,86.38002092385095
2021,4,5-10 miles,3873,33.24283455041777
2021,5,<1 mile,13417,10.228108458043815
2021,5,1-2 miles,24223,13.56694798703208
2021,5,10-20 miles,4088,59.990227256969
2021,5,2-5 miles,22719,19.66164423354343
2021,5,20+ miles,651,79.67545329444053
2021,5,5-10 miles,6133,33.50898699727005
2021,6,<1 mile,7183,10.095631433831073
2021,6,1-2 miles,13326,13.576417574434512
2021,6,10-20 miles,2324,59.47552896982216
2021,6,2-5 miles,12456,19.700063217084377
2021,6,20+ miles,368,84.14684777415317
2021,6,5-10 miles,3441,33.546425019818244
2021,7,<1 mile,2,82.80000305175781
2021,7,5-10 miles,2,94.55500030517578
2021,8,10-20 miles,2,70.80000114440918
2021,8,5-10 miles,1,92.05000305175781
2021,9,<1 mile,1,11.75
2021,9,5-10 miles,1,133.9199981689453
2022,0,<1 mile,19853,12.667924791317782
2022,0,1-2 miles,41745,15.500515505451972
2022,0,10-20 miles,14285,65.5933388694667
2022,0,2-5 miles,64020,25.450713538475537
2022,0,20+ miles,1828,82.08997216370747
2022,0,5-10 miles,25859,37.20163455514345
2022,1,<1 mile,426393,10.876916592174043
2022,1,1-2 miles,733929,14.148972068590808
2022,1,10-20 miles,169358,60.518086303266784
2022,1,2-5 miles,675646,20.34853976201016
2022,1,20+ miles,25747,83.92979123002326
2022,1,5-10 miles,209858,34.801997091459306
2022,2,<1 mile,80005,11.460716044823085
2022,2,1-2 miles,144999,14.150150434215425
2022,2,10-20 miles,54492,63.59927630881499
2022,2,2-5 miles,140310,20.544044021659616
2022,2,20+ miles,9051,79.87022763444578
2022,2,5-10 miles,44320,35.36373108372038
2022,3,<1 mile,19434,11.482305328103388
2022,3,1-2 miles,37080,14.119964959995647
2022,3,10-20 miles,11117,62.97847590127887
2022,3,2-5 miles,35456,20.409712644578008
2022,3,20+ miles,1776,86.63712864818874
2022,3,5-10 miles,10892,34.93619861261419
2022,4,<1 mile,7841,12.15816106185547
2022,4,1-2 miles,15266,13.992200336465045
2022,4,10-20 miles,5132,62.90185662658068
2022,4,2-5 miles,15122,20.318570699324496
2022,4,20+ miles,888,91.21325471057548
2022,4,5-10 miles,4904,35.0683498602318
2022,5,<1 mile,9019,11.031932662154317
2022,5,1-2 miles,16355,14.192354654937809
2022,5,10-20 miles,3628,61.9074308556292
2022,5,2-5 miles,15191,20.44788867102171
2022,5,20+ miles,526,80.7515401078721
2022,5,5-10 miles,4445,34.74841128629292
2022,6,<1 mile,6569,10.73522613672456
2022,6,1-2 miles,11852,14.284483651524656
2022,6,10-20 miles,2800,61.77511762893626
2022,6,2-5 miles,11139,20.595538870435245
2022,6,20+ miles,450,78.42542235003577
2022,6,5-10 miles,3044,34.89499301446722
2022,7,<1 mile,8,82.00749969482422
2022,7,10-20 miles,1,90.95999908447266
2022,7,2-5 miles,2,84.67500305175781
2022,7,5-10 miles,1,106.86000061035156
2022,8,<1 mile,1,86.98999786376953
2022,8,10-20 miles,3,97.6566670735677
2022,8,20+ miles,1,125.30000305175781
2023,0,<1 mile,16938,15.651256905718542
2023,0,1-2 miles,30935,19.46139835936481
2023,0,10-20 miles,10201,73.4932899434664
2023,0,2-5 miles,39774,28.500169446315258
2023,0,20+ miles,1303,101.6259173490593
2023,0,5-10 miles,17617,45.019268317099986
2023,1,<1 mile,457909,14.562941660363036
2023,1,1-2 miles,673554,19.316372704761772
2023,1,10-20 miles,150704,81.15576451376582
2023,1,2-5 miles,549520,28.162310566560187
2023,1,20+ miles,22148,113.11214944530269
2023,1,5-10 miles,176098,49.65017589765098
2023,2,<1 mile,79123,14.75199373304944
2023,2,1-2 miles,124803,19.265685641620312
2023,2,10-20 miles,48117,84.50007018126892
2023,2,2-5 miles,108353,28.38710394985854
2023,2,20+ miles,8096,129.6615870491318
2023,2,5-10 miles,34586,50.249219312652954
2023,3,<1 mile,18522,14.59537900095302
2023,3,1-2 miles,29581,19.130876198206973
2023,3,10-20 miles,8910,84.40055913786027
2023,3,2-5 miles,24801,28.046940394771816
2023,3,20+ miles,1566,113.86304626976393
2023,3,5-10 miles,7663,48.08820824459454
2023,4,<1 mile,9324,15.437601879935876
2023,4,1-2 miles,15093,18.921096502759145
2023,4,10-20 miles,5154,82.34457725584853
2023,4,2-5 miles,13162,27.811794500241543
2023,4,20+ miles,996,120.67445830073223
2023,4,5-10 miles,4547,48.51482951900633
2023,5,<1 mile,7499,14.037320980820311
2023,5,1-2 miles,12007,19.45995581798374
2023,5,10-20 miles,2719,84.92798516153194
2023,5,2-5 miles,10050,28.50724571920746
2023,5,20+ miles,444,112.07488846993661
2023,5,5-10 miles,2856,49.89246150375414
2023,6,<1 mile,5125,14.074099507029464
2023,6,1-2 miles,8007,19.276032170657437
2023,6,10-20 miles,1611,83.64613955809713
2023,6,2-5 miles,6589,28.542094347020676
2023,6,20+ miles,223,107.27820717165822
2023,6,5-10 miles,1901,49.281788545555344
2023,7,<1 mile,1,103.12999725341797
2023,7,1-2 miles,1,98.44000244140625
2023,7,10-20 miles,2,90.30000305175781
2023,7,5-10 miles,3,94.17000071207683
2023,8,<1 mile,1,100.80000305175781
2023,8,1-2 miles,1,99.0
2023,8,10-20 miles,1,101.75
2023,8,20+ miles,1,114.08999633789062
2023,8,5-10 miles,1,95.05000305175781
2023,9,<1 mile,1,96.05000305175781
2023,9,10-20 miles,2,97.375
2023,9,20+ miles,1,119.94000244140625
2024,0,<1 mile,54233,15.738995104728902
2024,0,1-2 miles,133759,17.088597549659397
2024,0,10-20 miles,16364,59.215068457740585
2024,0,2-5 miles,201086,23.815324885850508
2024,0,20+ miles,1261,91.03536094662502
2024,0,5-10 miles,68865,35.16411892170281
2024,1,<1 mile,568465,14.133286460144289
2024,1,1-2 miles,808848,19.234322438020772
2024,1,10-20 miles,182452,79.93327948406875
2024,1,2-5 miles,639958,27.940820047046444
2024,1,20+ miles,27533,110.56258759659488
2024,1,5-10 miles,211636,49.19162827673401
2024,2,<1 mile,92345,14.72410460175765
2024,2,1-2 miles,140662,19.15592829371195
2024,2,10-20 miles,53274,83.05789225036892
2024,2,2-5 miles,117914,28.271335316264025
2024,2,20+ miles,8950,103.8251219746254
2024,2,5-10 miles,38809,50.108419939914384
2024,3,<1 mile,19874,14.612606913940017
2024,3,1-2 miles,30824,19.097573938940272
2024,3,10-20 miles,8814,83.12624926125622
2024,3,2-5 miles,25099,27.965410109207284
2024,3,20+ miles,1505,109.99699036924547
2024,3,5-10 miles,7597,48.18278134300691
2024,4,<1 mile,10727,16.813090307021103
2024,4,1-2 miles,16448,18.831194644424237
2024,4,10-20 miles,5741,80.24864844897134
2024,4,2-5 miles,14011,27.724615599646082
2024,4,20+ miles,985,118.71735062962256
2024,4,5-10 miles,4823,49.7465892173234
2024,5,<1 mile,4890,13.934646222732793
2024,5,1-2 miles,7995,19.34132329020521
2024,5,10-20 miles,1748,85.59752342520916
2024,5,2-5 miles,6602,28.243889688867686
2024,5,20+ miles,295,110.99952651201669
2024,5,5-10 miles,1964,50.75341146298193
2024,6,<1 mile,3446,13.97141903524681
2024,6,1-2 miles,5362,19.303362497595074
2024,6,10-20 miles,972,84.84969198752823
2024,6,2-5 miles,4379,28.44914357415561
2024,6,20+ miles,169,109.01443910316603
2024,6,5-10 miles,1163,50.21430782767482
2024,7,2-5 miles,2,92.93999862670898
2024,7,5-10 miles,1,71.0
2024,8,<1 mile,5,59.805999755859375
2024,8,1-2 miles,1,92.5
2024,8,5-10 miles,1,100.19999694824219
2024,9,<1 mile,1,106.5
2024,9,10-20 miles,2,99.97000122070312
2098,5,2-5 miles,1,25.799999237060547
