source_year,pickup_hour,dropoff_hour,total_rides,total_revenue,avg_fare
2017,20,19,200,3539.719985485077,17.698599927425384
2017,20,20,402762,5537548.696165025,13.748935341876903
2017,20,21,120507,2989289.5360381007,24.805941032787313
2017,20,22,302,22602.519976973534,74.84278138070707
2017,20,23,6,322.5599994659424,53.759999910990395
2017,21,0,59,1775.829988539219,30.098813365071507
2017,21,1,1,86.30000305175781,86.30000305175781
2017,21,3,1,65.30000305175781,65.30000305175781
2017,21,18,1,11.300000190734863,11.300000190734863
2017,21,19,7,224.82999801635742,32.11857114519392
2017,21,20,167,3971.8699712753296,23.783652522606765
2017,21,21,385604,5512051.413218796,14.294590858027396
2017,21,22,116376,2833111.476411879,24.344465150992292
2017,21,23,192,15207.550080060959,79.2059900003175
2017,22,0,162,10695.850044488907,66.02376570672165
2017,22,1,6,545.5499958992004,90.9249993165334
2017,22,5,1,12.800000190734863,12.800000190734863
2017,22,19,1,64.41999816894531,64.41999816894531
2017,22,20,3,224.08999252319336,74.69666417439778
2017,22,21,172,3642.7500014305115,21.178779078084368
2017,22,22,368023,5400477.961127043,14.674294707469487
2017,22,23,106038,2563732.296772063,24.17748634236842
2017,23,0,82668,2041209.768282473,24.691655396071916
2017,23,1,97,8681.670062363148,89.50175322023864
2017,23,2,3,378.0500030517578,126.01666768391927
2017,23,19,1,9.359999656677246,9.359999656677246
2017,23,20,1,69.08000183105469,69.08000183105469
2017,23,21,4,179.21999740600586,44.804999351501465
2017,23,22,182,3786.549997329712,20.805219765547868
2017,23,23,315168,4744584.757322967,15.054144955461744
2018,0,0,212775,3279639.3255455494,15.413649749949709
2018,0,1,48132,1189541.0421804786,24.714141157244214
2018,0,2,35,3500.049972176552,100.00142777647291
2018,0,3,3,151.85999965667725,50.61999988555908
2018,0,4,2,3.5,1.75
2018,0,6,1,7.559999942779541,7.559999942779541
2018,0,7,1,14.300000190734863,14.300000190734863
2018,0,10,1,63.43000030517578,63.43000030517578
2018,0,11,3,97.5999984741211,32.53333282470703
2018,0,12,2,112.47999858856201,56.239999294281006
2018,0,13,3,57.57000160217285,19.190000534057617
2018,0,15,2,81.81000137329102,40.90500068664551
2018,0,16,1,7.300000190734863,7.300000190734863
2018,0,18,2,111.9000015258789,55.95000076293945
2018,0,22,7,178.69999980926514,25.528571401323592
2018,0,23,174,4363.169970035553,25.075689482962947
2018,1,0,209,4661.289999485016,22.302822964043138
2018,1,1,153924,2260828.687499225,14.687954363836862
2018,1,2,31740,690930.5653222799,21.768448812926273
2018,1,3,18,1288.00002014637,71.55555667479832
2018,1,4,2,400.60998779535294,200.30499389767647
2018,1,5,1,81.25,81.25
2018,1,6,1,10.8100004196167,10.8100004196167
2018,1,23,4,188.50000190734863,47.12500047683716
2018,2,0,35,633.7099995613098,18.105999987465996
2018,2,1,125,2013.0999875068665,16.104799900054932
2018,2,2,116929,1627853.8980433643,13.9217294088153
2018,2,3,22376,471637.2668440342,21.077818503934314
2018,2,4,17,953.610003054142,56.094706062008356
2018,2,6,1,71.5,71.5
2018,2,7,1,6.800000190734863,6.800000190734863
2018,2,9,1,19.549999237060547,19.549999237060547
2018,2,21,1,9.300000190734863,9.300000190734863
2018,2,22,2,86.15999984741211,43.079999923706055
2018,2,23,1,6.300000190734863,6.300000190734863
2018,3,0,34,642.9299955368042,18.909705751082477
2018,3,1,6,141.2599983215332,23.543333053588867
2018,3,2,135,2496.129982471466,18.489851722010858
2018,3,3,82505,1162124.098770991,14.085499045766813
2018,3,4,16838,376328.227412045,22.34993629956319
2018,3,5,16,1101.2499870061874,68.82812418788671
2018,3,6,4,1123.759997367859,280.9399993419647
2018,3,7,1,15.300000190734863,15.300000190734863
2018,3,16,1,0.800000011920929,0.800000011920929
2018,3,17,1,6.800000190734863,6.800000190734863
