pickup_year,pickup_week,pickup_yearweek,passenger_count,total_rides,total_revenue,avg_fare
2024,25,2024-W25,1,546453,14682163.945729136,26.86811847629922
2024,25,2024-W25,2,107571,3278839.6482913494,30.480702496875082
2024,25,2024-W25,3,27256,825173.1396918297,30.27491707117074
2024,25,2024-W25,4,17139,547614.7395980358,31.951382204214703
2024,25,2024-W25,5,5598,158865.49021148682,28.378972885224513
2024,25,2024-W25,6,4370,118148.16008400917,27.036192238903702
2024,25,2024-W25,7,1,94.5,94.5
2024,25,2024-W25,8,2,216.76000213623047,108.38000106811523
2024,26,2024-W26,0,113259,2892098.9393698405,25.53526818504349
2024,26,2024-W26,1,543519,15416136.015486702,28.36356413572792
2024,26,2024-W26,2,101139,3266826.2781196833,32.30036166186815
2024,26,2024-W26,3,25730,838077.3393678665,32.57199142510169
2024,26,2024-W26,4,16272,560118.589959383,34.422233896225606
2024,26,2024-W26,5,6019,176930.3601861,29.395308221648115
2024,26,2024-W26,6,4267,114750.57003641129,26.892563870731493
2024,26,2024-W26,8,2,208.45999908447266,104.22999954223633
2024,26,2024-W26,9,1,91.0,91.0
2024,27,2024-W27,0,42826,1066533.1096675675,24.903869370652583
2024,27,2024-W27,1,365826,9952340.963545084,27.205122007580336
2024,27,2024-W27,2,82788,2671543.9600548744,32.26970044034008
2024,27,2024-W27,3,23995,772358.9297397137,32.18832797414935
2024,27,2024-W27,4,18124,611522.2197365761,33.74101852441934
2024,27,2024-W27,5,4203,124955.91018772125,29.730171350873484
2024,27,2024-W27,6,2901,79091.66008400917,27.263584999658452
2024,27,2024-W27,8,1,90.75,90.75
2024,28,2024-W28,0,77846,1798494.0393276364,23.103229958220542
2024,28,2024-W28,1,513576,14133386.156524539,27.51956118768116
2024,28,2024-W28,2,94393,3012124.7287273407,31.910467182178134
2024,28,2024-W28,3,25309,820316.5597500801,32.41204945869375
2024,28,2024-W28,4,17153,600224.540017128,34.99239433435131
2024,28,2024-W28,5,5390,158333.95019316673,29.37550096348177
2024,28,2024-W28,6,3759,103699.67000436783,27.587036447025227
2024,28,2024-W28,8,2,233.4199981689453,116.70999908447266
2024,28,2024-W28,9,1,85.5,85.5
2024,29,2024-W29,0,103747,2510115.8092664126,24.194586920743856
2024,29,2024-W29,1,530907,14713687.475914598,27.714246517590833
2024,29,2024-W29,2,96018,3047130.05855155,31.734987799699535
2024,29,2024-W29,3,25627,831292.3596878052,32.438145693518756
2024,29,2024-W29,4,17587,617931.1100010872,35.13567464610719
2024,29,2024-W29,5,5300,156088.6001932621,29.450679281747565
2024,29,2024-W29,6,3592,101071.7800951004,28.13802341177628
2024,29,2024-W29,7,2,192.4800033569336,96.2400016784668
2024,29,2024-W29,8,2,107.5,53.75
2024,29,2024-W29,9,1,102.4000015258789,102.4000015258789
2024,30,2024-W30,0,66146,1585385.9995230827,23.967979915990124
2024,30,2024-W30,1,503985,13920979.674868941,27.62181349617338
2024,30,2024-W30,2,93026,2936612.738367796,31.567655691610902
2024,30,2024-W30,3,25537,827041.4296293259,32.386005780997216
2024,30,2024-W30,4,18646,654855.3098897934,35.12041777806465
2024,30,2024-W30,5,5268,156172.83028054237,29.645563834575242
2024,30,2024-W30,6,3489,94640.18004369736,27.12530239142945
2024,30,2024-W30,8,4,210.04000091552734,52.510000228881836
2024,31,2024-W31,0,75491,1882925.0894595124,24.942378422057097
2024,31,2024-W31,1,505758,13630990.286143422,26.95160587898446
2024,31,2024-W31,2,91840,2886685.7082469463,31.431682363316053
2024,31,2024-W31,3,25107,809606.2993073463,32.24623807333996
2024,31,2024-W31,4,18717,668071.9799364805,35.69332585010849
2024,31,2024-W31,5,5308,152534.3401737213,28.736688050814113
