pickup_year,pickup_week,pickup_yearweek,payment_type,total_rides,total_revenue,avg_fare
2024,11,2024-W11,0,91973,2211698.119263081,24.047254294880897
2024,11,2024-W11,1,607506,18035457.616327077,29.687702864378423
2024,11,2024-W11,2,112239,2605613.4563297033,23.214866992130215
2024,11,2024-W11,3,5533,47692.87003016472,8.619712638742946
2024,11,2024-W11,4,13730,23702.289969921112,1.7263139089527395
2024,12,2024-W12,0,94298,2118288.0496347006,22.463764338954174
2024,12,2024-W12,1,578930,17108638.89824605,29.552171934855767
2024,12,2024-W12,2,105803,2453527.3073465824,23.189581650298976
2024,12,2024-W12,3,5322,40546.39009785652,7.6186377485637955
2024,12,2024-W12,4,12877,22112.340003967285,1.7171965523000143
2024,13,2024-W13,0,108977,2452776.4692208134,22.50728565863268
2024,13,2024-W13,1,554652,16444836.608628035,29.648926910257305
2024,13,2024-W13,2,108658,2562191.8076057434,23.5803328572746
2024,13,2024-W13,3,5190,41303.70006322861,7.958323711604741
2024,13,2024-W13,4,13547,23727.830031633377,1.7515191578676739
2024,14,2024-W14,0,138561,3233067.309230905,23.333169573190904
2024,14,2024-W14,1,604285,17719405.32573033,29.32292763469279
2024,14,2024-W14,2,112681,2693149.2878968716,23.90065128900943
2024,14,2024-W14,3,5339,43870.750057697296,8.217035036092394
2024,14,2024-W14,4,13559,23803.879992246628,1.7555778444019934
2024,15,2024-W15,0,123758,2886038.9293477274,23.320019145006604
2024,15,2024-W15,1,598320,17542815.435443997,29.320122067529077
2024,15,2024-W15,2,107543,2519175.12693727,23.424817300403284
2024,15,2024-W15,3,5071,42883.02006149292,8.456521408300715
2024,15,2024-W15,4,12789,24011.250051259995,1.8774923802689807
2024,15,2024-W15,5,1,62.0,62.0
2024,16,2024-W16,0,85191,2063852.0394052602,24.226174588926767
2024,16,2024-W16,1,615728,18251086.015284657,29.64147483188138
2024,16,2024-W16,2,110942,2617002.1369816065,23.58892157146623
2024,16,2024-W16,3,5468,46614.310032367706,8.524928681852177
2024,16,2024-W16,4,13788,23510.530047416687,1.7051443318404909
2024,16,2024-W16,5,1,0.0,0.0
2024,17,2024-W17,0,49476,1199610.3995643314,24.24630931288567
2024,17,2024-W17,1,575011,17147661.56453955,29.821449614945717
2024,17,2024-W17,2,109018,2593696.31682992,23.791450190151348
2024,17,2024-W17,3,5265,39986.109978199005,7.594702749895347
2024,17,2024-W17,4,13551,20430.30003631115,1.5076599539746993
2024,18,2024-W18,0,78313,1957360.5794131644,24.994069687193242
2024,18,2024-W18,1,633479,18747249.383434065,29.594113433016823
2024,18,2024-W18,2,114383,2703169.2968991995,23.63261408512803
2024,18,2024-W18,3,5620,95732.76966166496,17.03430065154181
2024,18,2024-W18,4,14119,24009.1900036335,1.7004879951578369
2024,19,2024-W19,0,92525,2354237.728855513,25.444341841183604
2024,19,2024-W19,1,640229,19316982.792838693,30.171989698746376
2024,19,2024-W19,2,115647,2756386.947098732,23.83448725084725
2024,19,2024-W19,3,5550,45820.31999921799,8.25591351337261
