ride_date,total_rides,total_revenue,avg_fare
2024-03-30,112652,2825502.826891899,25.081692530020764
2024-03-31,98484,2693352.887775192,27.348126475114658
2024-04-01,93870,2682967.8485291004,28.581739091606483
2024-04-02,131634,3565638.8871559,27.087522123128522
2024-04-03,139775,3758072.977614239,26.886589000996164
2024-04-04,137504,3793986.587623406,27.591827056837666
2024-04-05,134463,3614558.7778642178,26.881437851782408
2024-04-06,131609,3353315.486726761,25.479378209140414
2024-04-07,105570,2944755.9873944297,27.893871245566256
2024-04-08,97245,2732141.3985567093,28.095443452688666
2024-04-09,120618,3351245.6772861574,27.78395991714468
2024-04-10,121815,3290713.758020291,27.014027484466535
2024-04-11,142640,3888107.93745601,27.258188007964176
2024-04-12,123884,3385248.1072482057,27.325950948049833
2024-04-13,129801,3245299.276200205,25.002113051518904
2024-04-14,111479,3122229.6070741694,28.007334180196892
2024-04-15,101058,2950162.0582161043,29.192761168993094
2024-04-16,111018,3122172.097792158,28.123116051380478
2024-04-17,126607,3518842.036940474,27.793424036115493
2024-04-18,134386,3761275.7169759274,27.988597896923245
2024-04-19,119285,3269481.517763147,27.408991220716327
2024-04-20,132925,3449454.266349284,25.950380036481356
2024-04-21,105839,2930677.337714214,27.68995679961275
2024-04-22,90393,2584607.407973418,28.593003971252397
2024-04-23,100084,2758248.527562976,27.55933543386531
2024-04-24,108657,3047971.187527716,28.051309971080705
2024-04-25,122980,3543130.1771552656,28.810621053466136
2024-04-26,113011,3177106.1576811075,28.113247008531093
2024-04-27,117875,3068375.516067276,26.03075729431411
2024-04-28,99321,2821945.716980554,28.412377211068698
2024-04-29,97090,2819109.377717981,29.03604261734454
2024-04-30,111859,3069234.7671934366,27.438424866961412
2024-05-01,121929,3481922.5770833194,28.55696821169139
2024-05-02,133110,3805209.897114992,28.586957381977253
2024-05-03,128046,3573393.266983509,27.9071057821682
2024-05-04,133764,3412692.276185274,25.512785773341662
2024-05-05,120116,3365959.0571332164,28.022570324796167
2024-05-06,102937,3105151.39740457,30.165551720028464
2024-05-07,119368,3391454.837189704,28.411758906823472
2024-05-08,127738,3661203.937058568,28.661822927073917
2024-05-09,136618,3945094.796791682,28.87683026242283
2024-05-10,138324,3866097.7670857366,27.949580456650594
2024-05-11,131001,3394738.1863500066,25.913834141342484
2024-05-12,112607,3136695.0269522667,27.85524014450493
2024-05-13,111384,3307487.6972437,29.694459682213783
2024-05-14,131795,3835249.376694167,29.100112877530766
2024-05-15,138562,4067753.276381016,29.356918032223955
2024-05-16,143801,4184016.1366796494,29.095876500717306
2024-05-17,133268,3767827.5573582426,28.272560234701825
2024-05-18,138069,3654415.0862707086,26.468034723730227
2024-05-19,114559,3640467.9695392847,31.778105339076674
2024-05-20,106889,3110160.2982020564,29.09710352049375
2024-05-21,121481,3425682.7471149154,28.199329501032388
2024-05-22,130889,3724549.1767461356,28.455784494847816
2024-05-23,122594,3521902.93753016,28.728183577745728
2024-05-24,109756,3133515.00784111,28.549828782400144
2024-05-25,90098,2359094.257639069,26.183647335557605
2024-05-26,85651,2317680.138018012,27.05958060055355
2024-05-27,72579,2116519.4582190514,29.161595753855128
2024-05-28,104696,3097452.5080310293,29.585203904934566
2024-05-29,121234,3425639.436678767,28.256425067875078
2024-05-30,123711,3546012.2676075697,28.663677988275655
2024-05-31,117269,3287453.307235224,28.033438566332315
2024-06-01,130704,3416791.456828842,26.141445226074502
2024-06-02,107051,3175554.4474565983,29.663940060873774
2024-06-03,109666,3173739.847470045,28.940052955975826
2024-06-04,124790,3552919.6768996716,28.471189012738773
2024-06-05,134055,3767556.0661407635,28.104554594314003
2024-06-06,142060,4111884.0069601666,28.944699471773664
2024-06-07,132048,3658391.467686534,27.705012326476236
2024-06-08,132327,3430180.786410602,25.92200220975766
2024-06-09,106992,3173961.3566293567,29.665408223319098
2024-06-10,105793,3077308.697384596,29.08801808611719
2024-06-11,119426,3299778.0969473124,27.630315818559712
2024-06-12,122534,3353324.8364628553,27.366484701901964
2024-06-13,128141,3539957.4865372274,27.625486663419416
2024-06-14,123454,3323891.087272782,26.924126292163738
2024-06-15,115235,3002388.7567397356,26.054486542627984
2024-06-16,104995,2970340.9082000535,28.290308188009462
2024-06-17,100477,2801653.779071808,27.88353333670201
2024-06-18,122017,3288092.057858467,26.947819220751757
2024-06-19,103078,2802649.3178236578,27.189597371152505
2024-06-20,124507,3500820.846860647,28.117462045191413
2024-06-21,119220,3283797.397457022,27.544014405779418
2024-06-22,117840,3029102.086635748,25.70521119005217
2024-06-23,102552,2854968.6470332015,27.839229337635555
2024-06-24,109939,3267237.1282963753,29.718636046320007
2024-06-25,126809,3622135.736830024,28.56371185665074
2024-06-26,132825,3773820.907962203,28.41197747383552
2024-06-27,127473,3843135.386461474,30.148622739415202
2024-06-28,111990,3232100.8475669473,28.860620122930147
2024-06-29,109627,2902854.077089824,26.479371661085533
2024-06-30,91545,2623953.468318224,28.66299053272406
2024-07-01,85618,2481762.959018588,28.986462648258403
2024-07-02,87784,2397379.718365431,27.30998494447087
2024-07-03,80419,2204731.1084985733,27.415549913559897
2024-07-04,61817,1702356.2596895788,27.538642439613355
2024-07-05,74137,2021189.8700460289,27.262903409175294
2024-07-06,75081,2123450.3983373735,28.282127280368847
2024-07-07,75808,2347567.1890599728,30.96727507730019
2024-07-08,91186,2724150.148395071,29.87465343797371
2024-07-09,110714,3102941.397969961,28.0266397923475
2024-07-10,118863,3263685.8772211075,27.457542525606012
2024-07-11,117833,3370492.078013407,28.603974082077237
2024-07-12,101629,2798887.578325987,27.540245189128957
2024-07-13,100839,2657661.9872596357,26.35549725066329
2024-07-14,96365,2709079.4973572586,28.112691302415385
2024-07-15,102196,2969178.6486808155,29.05376579005847
2024-07-16,127633,3514080.347332487,27.532694109928364
2024-07-17,128179,3512696.4475897644,27.404617352216544
2024-07-18,120270,3516218.6769402027,29.236041215101046
2024-07-19,105658,2979407.8576715365,28.19860169292942
2024-07-20,105854,2818265.166975975,26.624078135696102
2024-07-21,92993,2667872.4285239168,28.68895969077153
2024-07-22,94033,2700782.968193054,28.721650571533974
2024-07-23,109294,3084817.3779387567,28.224947187757394
2024-07-24,114086,3179555.106975436,27.869809678448156
2024-07-25,113980,3287878.2373669147,28.84609788881308
2024-07-26,99004,2785758.987842679,28.1378427926415
2024-07-27,96842,2586365.1968768835,26.70706095368625
2024-07-28,88862,2550740.32741037,28.704511798185614
2024-07-29,87840,2521533.438136101,28.7059817638445
2024-07-30,102477,2797876.007024884,27.302477697677375
2024-07-31,109582,3039233.107654929,27.734784067227547
2024-08-01,117167,3255660.917320445,27.78650061297503
2024-08-02,108219,2957967.4383592606,27.333161814092357
2024-08-03,113458,3010067.8171645496,26.530238653638786
2024-08-04,86902,2538905.4975986574,29.2157314860263
2024-08-05,94258,2731135.357668996,28.975104051316556
2024-08-06,119288,3246799.0573651567,27.21815318695222
2024-08-07,110119,3162884.0173470974,28.722418632089806
2024-08-08,109615,3104755.47767652,28.324184442608402
2024-08-09,92332,2546612.9485821724,27.581043934737387
2024-08-10,96172,2574377.3279727697,26.768470323719686
2024-08-11,81599,2456568.0485562086,30.1053695334037
2024-08-12,80583,2351002.2189306617,29.174915539638157
2024-08-13,91892,2536630.1880494356,27.604472511746785
2024-08-14,99548,2739651.687701702,27.520911396529335
2024-08-15,101551,2849862.557838917,28.063362821034918
2024-08-16,94703,2638919.7182554156,27.86521776770974
2024-08-17,93655,2510917.2274695635,26.810284848321643
2024-08-18,83816,2369028.7575114965,28.264636316592256
2024-08-19,84721,2610706.1691014767,30.8153370368796
2024-08-20,93286,2702826.568213463,28.973549816837068
2024-08-21,94327,2663577.93788065,28.237704346376436
2024-08-22,96081,2795781.5280632973,29.098172667471168
2024-08-23,91741,2624875.2481045816,28.6118011369462
2024-08-24,90700,2459447.977606058,27.116295232701855
2024-08-25,84073,2470072.718263626,29.380094896858992
2024-08-26,85984,2502067.7887982223,29.099225307013192
2024-08-27,94520,2654496.168178091,28.083962845726735
2024-08-28,104455,2932056.9577617645,28.070048899160064
2024-08-29,100646,2946917.9179917667,29.280030184923064
2024-08-30,93923,2762978.5282345004,29.41748590051958
2024-08-31,89858,2517756.7277047727,28.019282954269766
2024-09-01,89547,2568117.3581494186,28.678988220146053
2024-09-02,80373,2550170.108718643,31.72918901519967
2024-09-03,102984,3105436.93798933,30.15455738745174
2024-09-04,118488,3431174.9475723505,28.95799530393247
2024-09-05,130232,3762859.997377634,28.893513094920095
2024-09-06,128739,3614265.037553737,28.0743600428288
2024-09-07,124714,3369151.2262824513,27.015020176423267
2024-09-08,112643,3234012.096619377,28.710280235961196
2024-09-09,108295,3165960.4479441643,29.23459483765792
2024-09-10,121703,3477496.416621346,28.573629381538222
2024-09-11,120419,3355709.9571659565,27.866947551183422
2024-09-12,138551,3954596.687096376,28.542534424842664
2024-09-13,129364,3558099.716935143,27.504558586122435
2024-09-14,133562,3476713.9063506704,26.030711627189397
